date,open,high,low,close,volume,dividends,stock_splits,ticker,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,stochastic_k,stochastic_d,williams_r,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr_14,obv,obv_signal,mfi_14,pivot,resistance,support,local_high,local_low,buy_signal_score,sell_signal_score,signal,signal_strength
2020-12-14 21:00:00,7.976660725268342,8.017735344848552,7.919156727915972,7.927371025085449,208518974,0.0,0.0,GARAN.IS,,,,7.927371025085449,7.927371025085449,,,,,0.0,0.0,0.0,,,,,,0.09857861693257952,-208518974,-208518974.0,,,,,False,False,0.0,0.0,HOLD,0.0
2020-12-15 21:00:00,8.009520791865324,8.099884334147832,7.919157249582817,7.993090629577637,239999991,0.0,0.0,GARAN.IS,,,,7.9374817334688625,7.932239143936722,,,,,0.005242589532140407,0.0010485179064280814,0.0041940716257123254,,,,,,0.10953174595023765,31481017,-160518975.8,,,,,False,False,0.2,0.0,HOLD,0.2
2020-12-16 21:00:00,8.075239348612552,8.116313968225374,7.993090109386907,8.02595043182373,177492922,0.0,0.0,GARAN.IS,,,,7.9510923024465345,7.939180720817241,,,,,0.011911581629293622,0.0032211306510011896,0.008690450978292432,,,,,,0.11135736100200148,208973939,-86620392.84,,,,,False,False,0.0,0.0,HOLD,0.0
2020-12-17 21:00:00,8.001305839856643,8.11631462742684,7.976661379460627,8.083455085754395,118604400,0.0,0.0,GARAN.IS,,,,7.971455807570821,7.949867710812586,,,,,0.0215880967582347,0.006894523872447891,0.014693572885786807,,,,,,0.11513014593056302,327578339,-3780646.4719999954,,,,,False,False,0.0,0.0,HOLD,0.0
2020-12-20 21:00:00,8.001305449824708,8.025950692452637,7.779503750205969,8.009520530700684,185883846,0.0,0.0,GARAN.IS,,,,7.977311918821568,7.954286438211704,,,,,0.023025480609864424,0.010120715219931199,0.012904765389933225,,,,,,0.14030630454627796,141694493,25314381.422400005,,7.968446302777831,8.157388855349694,7.8205779781288225,False,False,0.0,0.0,HOLD,0.0
2020-12-21 21:00:00,8.067025008871866,8.305256884385395,8.04238054821413,8.264183044433594,250519256,0.0,0.0,GARAN.IS,,,,8.021445938146496,7.977241742376288,,,,,0.04420419577020773,0.016937411329986506,0.027266784440221226,,,,,,0.1610303110980691,392213749,98694254.93792,,8.116314559674986,8.453125369144004,7.927372234964578,False,False,0.0,0.0,HOLD,0.0
2020-12-22 21:00:00,8.280612029781434,8.338116029724851,8.173818327434198,8.190248489379883,154849317,0.0,0.0,GARAN.IS,,,,8.047415561413171,7.99302001993211,,,,,0.054395541481061294,0.024429037360201467,0.029966504120859827,,,,,,0.16146596325708037,237364432,126428290.35033602,,8.1026227564369,8.425741762667833,7.86712948314895,False,False,0.0,0.0,HOLD,0.0
2020-12-23 21:00:00,8.20667717225532,8.461339176794404,8.108098559236918,8.17381763458252,341960854,0.0,0.0,GARAN.IS,,,,8.066862034208455,8.00641243583214,,,,,0.060449598376315805,0.031633149563424334,0.02881644881289147,,,,,,0.18703591716380108,-104596422,80223347.88026881,,8.138220187194298,8.496936624182627,7.815101197594192,False,False,0.0,0.0,HOLD,0.0
2020-12-24 21:00:00,8.17381819388424,8.231322976321342,8.075239574120497,8.099884033203125,77638014,0.0,0.0,GARAN.IS,,,,8.071942341746096,8.01333625785962,,,,,0.0586060838864757,0.03702773642803461,0.02157834745844109,,,,,,0.18290891516874036,-182234436,27731791.10421505,,8.113575653401165,8.447647556596362,7.765812130007927,False,False,0.0,0.0,HOLD,0.0
2020-12-27 21:00:00,8.16560285090913,8.182033012058918,8.067024234310011,8.116313934326172,69278577,0.0,0.0,GARAN.IS,,,,8.07876874060457,8.02096423389418,,,,,0.05780450671039006,0.041183090484505705,0.016621416225884353,,,,,,0.17385556351276252,-112955859,-405738.91662796214,,8.206677886444902,8.370975224675675,7.952016596095401,False,False,0.0,0.0,HOLD,0.0
